Year,Longitude,Latitude
2001,-91.686565684,36.619446395
2003,-91.686565684,36.619446395
2003,-91.686565684,36.619446395
2001,-91.686565684,36.619446395
2001,-87.685268108,41.749135591
2001,-87.746889161,41.905072512
2001,-87.748308875,41.897236716
2001,-87.717959287,41.891770726
2001,-87.656374568,41.85626764
2015,-87.625429032,41.735752519
2001,-87.732641264,41.90528152
2001,-87.606648888,41.759406442
2001,-87.559231739,41.751827103
2001,-87.581225224,41.65053199
2001,-87.663778347,41.746709897
2015,-87.664157893,41.777198547
2001,-87.633560686,41.750794483
2001,-87.610444499,41.817965981
2001,-87.667378872,41.687974882
2001,-87.667378872,41.687974882
2001,-87.667378872,41.687974882
2001,-87.627069839,41.852051628
2015,-87.63018934,41.88693095
2001,-87.680936618,41.999693927
2015,-87.766698991,41.944279991
2001,-87.615233757,41.683977989
2001,-87.590885285,41.761915482
2001,-87.612068766,41.785014658
2001,-87.650838528,41.778928682
2001,-87.744925726,41.871247869
2001,-87.696011332,41.785576875
2015,-87.655281972,41.9862963
2001,-87.754245643,41.88166577
2001,-87.644206364,41.756989602
2001,-87.772260899,41.882142138
2001,-87.706562721,41.854938872
2001,-87.654359502,41.85798737
2001,-87.705238556,41.892719968
2001,-87.550421418,41.748831006
2001,-87.627957476,41.694850249
2001,-87.594866742,41.725381512
2001,-87.60647453,41.805366666
2001,-87.6947493,41.827752222
2001,-87.710952739,41.879172555
2001,-87.605756356,41.725168316
2001,-87.70640419,41.890703831
2001,-87.722564425,41.889896295
2015,-87.650461977,41.764656108
2001,-87.719003201,41.893598492
2001,-91.686565684,36.619446395
2001,-87.752197796,41.906649995
2001,-87.71888551,41.939196007
2001,-87.602153123,41.753145614
2001,-87.626497423,41.82835964
2001,-87.656992959,41.751480925
2001,-87.655441678,41.962222377
2001,-87.640015058,41.899666325
2001,-87.6356864,41.671518427
2001,-87.629183169,41.814635574
2001,-87.667566751,41.906132875
2001,-87.572987781,41.72523882
2001,-91.686565684,36.619446395
2001,-87.667112995,41.751674522
2001,-87.68733707,41.780349946
2001,-87.681696384,41.887243008
2001,-87.602622531,41.746655581
2001,-87.643059363,41.660431882
2016,-87.625507325,41.818315006
2001,-87.664663275,41.797012513
2001,-87.667279128,41.803995444
2016,-87.69435751,41.81327948
2001,-87.697373323,41.981306758
2001,-87.625418344,41.813070151
2001,-87.610929365,41.731990385
2001,-87.610929365,41.731990385
2001,-87.679048328,41.932949598
2001,-87.585985384,41.768491974
2001,-87.721250884,41.87167847
2001,-87.552761693,41.735029365
2001,-87.607729243,41.806963534
2001,-87.697085234,41.780429045
2016,-87.746804611,41.936776176
2001,-87.589658989,41.761460231
2001,-87.769711392,41.894788866
2001,-87.666672308,42.007893927
2001,-87.696885733,41.903162458
2001,-87.66130104,41.807824573
2016,-87.687767302,41.928418844
2001,-87.672587355,41.792115905
2001,-87.622478715,41.688965575
2001,-87.718931647,41.844322291
2001,-87.73186579,41.902579875
2001,-87.60269154,41.748972212
