Year,Latitude,Longitude
2001,36.619446395,-91.686565684
2003,36.619446395,-91.686565684
2003,36.619446395,-91.686565684
2001,36.619446395,-91.686565684
2001,41.749135591,-87.685268108
2001,41.905072512,-87.746889161
2001,41.897236716,-87.748308875
2001,41.891770726,-87.717959287
2001,41.85626764,-87.656374568
2015,41.735752519,-87.625429032
2001,41.90528152,-87.732641264
2001,41.759406442,-87.606648888
2001,41.751827103,-87.559231739
2001,41.65053199,-87.581225224
2001,41.746709897,-87.663778347
2015,41.777198547,-87.664157893
2001,41.750794483,-87.633560686
2001,41.817965981,-87.610444499
2001,41.687974882,-87.667378872
2001,41.687974882,-87.667378872
2001,41.687974882,-87.667378872
2001,41.852051628,-87.627069839
2015,41.88693095,-87.63018934
2001,41.999693927,-87.680936618
2015,41.944279991,-87.766698991
2001,41.683977989,-87.615233757
2001,41.761915482,-87.590885285
2001,41.785014658,-87.612068766
2001,41.778928682,-87.650838528
2001,41.871247869,-87.744925726
2001,41.785576875,-87.696011332
2015,41.9862963,-87.655281972
2001,41.88166577,-87.754245643
2001,41.756989602,-87.644206364
2001,41.882142138,-87.772260899
2001,41.854938872,-87.706562721
2001,41.85798737,-87.654359502
2001,41.892719968,-87.705238556
2001,41.748831006,-87.550421418
2001,41.694850249,-87.627957476
2001,41.725381512,-87.594866742
2001,41.805366666,-87.60647453
2001,41.827752222,-87.6947493
2001,41.879172555,-87.710952739
2001,41.725168316,-87.605756356
2001,41.890703831,-87.70640419
2001,41.889896295,-87.722564425
2015,41.764656108,-87.650461977
2001,41.893598492,-87.719003201
2001,36.619446395,-91.686565684
2001,41.906649995,-87.752197796
2001,41.939196007,-87.71888551
2001,41.753145614,-87.602153123
2001,41.82835964,-87.626497423
2001,41.751480925,-87.656992959
2001,41.962222377,-87.655441678
2001,41.899666325,-87.640015058
2001,41.671518427,-87.6356864
2001,41.814635574,-87.629183169
2001,41.906132875,-87.667566751
2001,41.72523882,-87.572987781
2001,36.619446395,-91.686565684
2001,41.751674522,-87.667112995
2001,41.780349946,-87.68733707
2001,41.887243008,-87.681696384
2001,41.746655581,-87.602622531
2001,41.660431882,-87.643059363
2016,41.818315006,-87.625507325
2001,41.797012513,-87.664663275
2001,41.803995444,-87.667279128
2016,41.81327948,-87.69435751
2001,41.981306758,-87.697373323
2001,41.813070151,-87.625418344
2001,41.731990385,-87.610929365
2001,41.731990385,-87.610929365
2001,41.932949598,-87.679048328
2001,41.768491974,-87.585985384
2001,41.87167847,-87.721250884
2001,41.735029365,-87.552761693
2001,41.806963534,-87.607729243
2001,41.780429045,-87.697085234
2016,41.936776176,-87.746804611
2001,41.761460231,-87.589658989
2001,41.894788866,-87.769711392
2001,42.007893927,-87.666672308
2001,41.903162458,-87.696885733
2001,41.807824573,-87.66130104
2016,41.928418844,-87.687767302
2001,41.792115905,-87.672587355
2001,41.688965575,-87.622478715
2001,41.844322291,-87.718931647
2001,41.902579875,-87.73186579
2001,41.748972212,-87.60269154
2001,41.736531621,-87.612582187
2001,41.800268225,-87.64531256
2001,41.781184105,-87.615649806
2017,41.830282091,-87.684890583
2001,41.853731004,-87.697008971
2017,41.864137869,-87.705602815
2001,42.005403989,-87.668872764
2001,41.895868773,-87.721207281
2001,41.883738563,-87.642713824
2001,41.969110786,-87.653199102
2001,41.793244724,-87.660921628
2001,41.883638136,-87.755186303
2001,36.619446395,-91.686565684
2001,41.789640536,-87.648682442
2001,41.939900177,-87.654843816
2001,41.790526256,-87.630393167
2001,41.931526191,-87.747286365
2001,41.80505341,-87.658120674
2001,41.716653872,-87.564628002
2001,41.867184057,-87.716759634
2001,41.876860431,-87.725537965
2017,41.903168813,-87.678492886
2001,41.830364812,-87.623239091
2001,41.69397574,-87.612189718
2001,41.777020104,-87.625232019
2001,41.806472977,-87.622762074
2001,41.903535717,-87.758279867
2001,41.88077164,-87.722041752
2001,41.77061404,-87.610547492
2001,41.906658672,-87.688045355
2001,41.887748749,-87.729015487
2001,41.876884977,-87.686329083
2001,41.768448004,-87.591055569
2001,41.905356777,-87.690780557
2001,41.821070404,-87.68649871
